yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,55701,314,0.0,0.0,Texas,United States
2020-01,52261,283,-0.061758316726809204,-0.0987261146496815,Texas,United States
2020-02,51951,284,-0.06732374643184147,-0.09554140127388533,Texas,United States
2020-03,43765,240,-0.21428699664278916,-0.23566878980891715,Texas,United States
2020-04,28227,217,-0.49324069585824315,-0.30891719745222934,Texas,United States
2020-05,21527,115,-0.6135257894831332,-0.6337579617834395,Texas,United States
