yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,5521,19,0.0,0.0,Utah,United States
2020-01,5562,12,0.00742619090744423,-0.368421052631579,Utah,United States
2020-02,5260,17,-0.047274044557145456,-0.10526315789473684,Utah,United States
2020-03,3893,14,-0.2948741170077884,-0.26315789473684215,Utah,United States
2020-04,2698,20,-0.511320412968665,0.05263157894736836,Utah,United States
2020-05,3481,28,-0.3694982792972288,0.4736842105263157,Utah,United States
