yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,50023,37,0.0,0.0,Colorado,United States
2020-01,46103,32,-0.07836395258181239,-0.1351351351351351,Colorado,United States
2020-02,45557,35,-0.08927893169142198,-0.05405405405405406,Colorado,United States
2020-03,30559,36,-0.38910101353377446,-0.027027027027026973,Colorado,United States
2020-04,14637,32,-0.707394598484697,-0.1351351351351351,Colorado,United States
2020-05,17222,41,-0.6557183695500071,0.10810810810810811,Colorado,United States
