yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,26001,72,0.0,0.0,Ohio,United States
2020-01,22755,73,-0.12484135225568249,0.01388888888888884,Ohio,United States
2020-02,23174,65,-0.1087265874389447,-0.09722222222222221,Ohio,United States
2020-03,15459,78,-0.4054459443867544,0.08333333333333326,Ohio,United States
2020-04,10638,50,-0.5908618899273105,-0.3055555555555556,Ohio,United States
2020-05,13966,69,-0.4628668128148917,-0.04166666666666663,Ohio,United States
