Year,Month,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
2019,01,25805,67,0,2019-01,,,,Ohio,United States,0.0,0.002596396047277659,,
2019,02,21660,59,0,2019-02,-0.16062778531292388,,-0.11940298507462688,Ohio,United States,0.0,0.0027239150507848567,,0.04911384903736171
2019,03,21937,79,0,2019-03,0.012788550323176384,,0.3389830508474576,Ohio,United States,0.0,0.003601221680266217,,0.32207562024688574
2019,04,22347,66,0,2019-04,0.01868988466973609,,-0.16455696202531644,Ohio,United States,0.0,0.002953416565982011,,-0.1798848201525648
2019,05,25326,83,0,2019-05,0.13330648409182433,,0.25757575757575757,Ohio,United States,0.0,0.003277264471294322,,0.10965195666688188
2019,06,24389,96,0,2019-06,-0.03699755192292509,,0.15662650602409633,Ohio,United States,0.0,0.003936200746238058,,0.2010628927617477
2019,07,23780,105,0,2019-07,-0.024970273483947647,,0.09375,Ohio,United States,0.0,0.004415475189234651,,0.12176067073170715
2019,08,25356,115,0,2019-08,0.0662741799831792,,0.09523809523809534,Ohio,United States,0.0,0.004535415680706736,,0.02716366559243988
2019,09,23472,115,0,2019-09,-0.0743019403691434,,0.0,Ohio,United States,0.0,0.0048994546693933196,,0.08026584867075659
2019,10,28626,94,0,2019-10,0.21958077709611445,,-0.18260869565217386,Ohio,United States,0.0,0.0032837280793684065,,-0.3297768219223023
2019,11,27896,87,0,2019-11,-0.025501292531265318,,-0.07446808510638303,Ohio,United States,0.0,0.0031187266991683396,,-0.05024818627241612
2019,12,26001,72,0,2019-12,-0.0679308861485518,,-0.1724137931034483,Ohio,United States,0.0,0.0027691242644513675,,-0.11209781056166268
2020,01,22755,73,0,2020-01,-0.12484135225568249,,0.01388888888888884,Ohio,United States,0.0,0.0032080861349154033,,0.158520105471325
2020,02,23174,65,0,2020-02,0.018413535486706323,,-0.1095890410958904,Ohio,United States,0.0,0.0028048675239492533,,-0.12568821222650328
2020,03,15459,78,0,2020-03,-0.33291619918874604,,0.19999999999999996,Ohio,United States,0.0,0.00504560450223171,,0.7988744420725793
2020,04,10638,50,0,2020-04,-0.31185717058024454,,-0.3589743589743589,Ohio,United States,0.0,0.004700131603684903,,-0.06847007100814206
2020,05,13966,69,0,2020-05,0.3128407595412672,,0.3799999999999999,Ohio,United States,0.0,0.004940569955606473,,0.05115566375483316
