yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,14086,74,0.0,0.0,Washington,United States
2020-01,14035,58,-0.003620616214681238,-0.21621621621621623,Washington,United States
2020-02,11775,36,-0.1640636092574187,-0.5135135135135135,Washington,United States
2020-03,8505,46,-0.3962090018458043,-0.3783783783783784,Washington,United States
2020-04,5287,58,-0.6246627857447111,-0.21621621621621623,Washington,United States
2020-05,6268,43,-0.5550191679681954,-0.41891891891891897,Washington,United States
