yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,4091,10,0.0,0.0,Maine,United States
2020-01,3382,12,-0.17330725983867024,0.19999999999999996,Maine,United States
2020-02,2775,5,-0.3216817404057688,-0.5,Maine,United States
2020-03,1957,6,-0.5216328526032754,-0.4,Maine,United States
2020-04,1342,9,-0.6719628452701052,-0.09999999999999998,Maine,United States
2020-05,1538,10,-0.6240527988266927,0.0,Maine,United States
