Year,Month,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
2019,1,3664,11,,2019-01,,,,Maine,United States,,0.003002183406113537,,
2019,2,2741,7,,2019-02,-0.25191048034934493,,-0.36363636363636365,Maine,United States,,0.002553812477198103,,-0.14934828032237735
2019,3,2777,6,,2019-03,0.013133892739875863,,-0.1428571428571429,Maine,United States,,0.0021606049693914295,,-0.1539688255568703
2019,4,2499,12,,2019-04,-0.10010803024846959,,1.0,Maine,United States,,0.004801920768307323,,1.2224889955982392
2019,5,2308,13,,2019-05,-0.0764305722288916,,0.08333333333333326,Maine,United States,,0.005632582322357019,,0.1729852686308493
2019,6,2775,19,,2019-06,0.2023396880415944,,0.46153846153846145,Maine,United States,,0.006846846846846847,,0.21557865557865563
2019,7,2916,25,,2019-07,0.050810810810810736,,0.3157894736842106,Maine,United States,,0.008573388203017833,,0.2521659085986572
2019,8,2703,15,,2019-08,-0.07304526748971196,,-0.4,Maine,United States,,0.005549389567147614,,-0.3527192008879023
2019,9,2347,13,,2019-09,-0.1317055123936367,,-0.1333333333333333,Maine,United States,,0.005538985939497231,,-0.0018747337025990518
2019,10,2792,12,,2019-10,0.1896037494674052,,-0.07692307692307687,Maine,United States,,0.004297994269340974,,-0.2240467269120564
2019,11,3608,9,,2019-11,0.29226361031518633,,-0.25,Maine,United States,,0.0024944567627494456,,-0.41962305986696236
2019,12,4091,10,,2019-12,0.13386917960088685,,0.11111111111111116,Maine,United States,,0.0024443901246638962,,-0.020071158912517983
2020,1,3382,12,,2020-01,-0.17330725983867024,,0.19999999999999996,Maine,United States,,0.0035481963335304554,,0.4515671200473095
2020,2,2775,5,,2020-02,-0.17947959787108225,,-0.5833333333333333,Maine,United States,,0.0018018018018018018,,-0.49219219219219223
2020,3,1957,6,,2020-03,-0.29477477477477476,,0.19999999999999996,Maine,United States,,0.0030659172202350538,,0.7015840572304548
2020,4,1342,9,,2020-04,-0.314256515074093,,0.5,Maine,United States,,0.0067064083457526085,,1.1874068554396424
2020,5,1538,10,,2020-05,0.14605067064083466,,0.11111111111111116,Maine,United States,,0.006501950585175552,,-0.030486923854934345
