yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,38554,235,0.0,0.0,California,United States
2020-01,34601,198,-0.10253151423976758,-0.1574468085106383,California,United States
2020-02,27490,169,-0.28697411422939256,-0.2808510638297872,California,United States
2020-03,17061,134,-0.5574778233127562,-0.42978723404255315,California,United States
2020-04,10656,60,-0.7236084452975048,-0.7446808510638299,California,United States
2020-05,10142,20,-0.7369403952897235,-0.9148936170212766,California,United States
