Year,Month,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
2019,1,32852,238,257.0,2019-1,,,,Florida,United States,0.007822963594301716,0.007244612200170461,,
2019,2,32157,263,281.0,2019-02,-0.02115548520638011,0.09338521400778199,0.10504201680672276,Florida,United States,0.008738377336194297,0.008178623627825978,0.11701623443056453,0.12892497235856748
2019,3,35910,305,334.0,2019-3,0.11670864819479432,0.18861209964412806,0.15969581749049433,Florida,United States,0.009301030353661933,0.008493455861876914,0.06438872983169674,0.03849452528660047
2019,4,33692,268,292.0,2019-04,-0.06176552492341969,-0.12574850299401197,-0.12131147540983611,Florida,United States,0.008666745815030274,0.007954410542562032,-0.06819508318042777,-0.06346595874294236
2019,5,34645,255,264.0,2019-5,0.028285646444259793,-0.09589041095890416,-0.04850746268656714,Florida,United States,0.007620147207389233,0.007360369461682783,-0.12076027496110253,-0.07468071677978982
2019,6,31111,236,254.0,2019-06,-0.1020060614807331,-0.037878787878787845,-0.07450980392156858,Florida,United States,0.008164314872553115,0.007585741377647778,0.07141169984698004,0.030619647171008735
2019,7,31000,220,239.0,2019-7,-0.003567869885249597,-0.05905511811023623,-0.06779661016949157,Florida,United States,0.007709677419354839,0.0070967741935483875,-0.0556859283718566,-0.06445872061235647
2019,8,34401,219,245.0,2019-08,0.10970967741935489,0.025104602510460206,-0.004545454545454519,Florida,United States,0.007121885991686288,0.0063660940088950905,-0.07624072911182034,-0.10295948056478277
2019,9,30942,229,246.0,2019-9,-0.10054940263364442,0.004081632653061273,0.04566210045662111,Florida,United States,0.00795035873569905,0.007400943701118221,0.11632771782360418,0.16255645781811823
2019,10,35527,220,236.0,2019-10,0.14818046667959406,-0.04065040650406504,-0.0393013100436681,Florida,United States,0.006642835026880964,0.006192473330143272,-0.1644609699115821,-0.163285983487803
2019,11,32660,280,308.0,2019-11,-0.08069918653418529,0.30508474576271194,0.2727272727272727,Florida,United States,0.009430496019595835,0.008573178199632579,0.41964928850924244,0.38445137226521187
2019,12,35670,237,259.0,2019-12,0.09216166564605022,-0.15909090909090906,-0.15357142857142858,Florida,United States,0.007261003644519204,0.006644238856181665,-0.230050717435074,-0.2249969962753816
2020,1,32484,272,283.0,2020-01,-0.08931875525651811,0.0926640926640927,0.14767932489451474,Florida,United States,0.008711981283093214,0.008373353035340475,0.1998315535441504,0.2602426277240286
2020,2,31769,249,270.0,2020-02,-0.022010836103928066,-0.04593639575971731,-0.0845588235294118,Florida,United States,0.00849885108124272,0.007837829330479398,-0.024464033487319514,-0.06395570598789424
2020,3,26853,252,265.0,2020-03,-0.15474204413107118,-0.01851851851851849,0.012048192771084265,Florida,United States,0.009868543551930883,0.009384426321081444,0.16116207444923059,0.19732465780898156
2020,4,16253,187,205.0,2020-04,-0.39474174207723534,-0.2264150943396226,-0.2579365079365079,Florida,United States,0.01261305605119055,0.01150556820279333,0.27810714770799927,0.2260278688476558
2020,5,14954,115,,2020-05,-0.079923706392666,0.0,-0.3850267379679144,Florida,United States,,0.00769025010030761,0.0,-0.3316062305866332
