yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,893,7,0.0,0.0,Vermont,United States
2020-01,1384,3,0.5498320268757,-0.5714285714285714,Vermont,United States
2020-02,1240,1,0.3885778275475924,-0.8571428571428572,Vermont,United States
2020-03,634,2,-0.29003359462486,-0.7142857142857143,Vermont,United States
2020-04,315,1,-0.6472564389697648,-0.8571428571428572,Vermont,United States
2020-05,278,1,-0.6886898096304591,-0.8571428571428572,Vermont,United States
