Year,Month,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
2019,1,9891,66,,2019-01,,,,Virginia,United States,,0.006672732787382469,,
2019,2,9295,58,,2019-02,-0.06025679911030235,,-0.12121212121212122,Virginia,United States,,0.006239913932221624,,-0.06486380752115017
2019,3,10200,60,,2019-03,0.0973641742872513,,0.034482758620689724,Virginia,United States,,0.0058823529411764705,,-0.057302231237322476
2019,4,10138,61,,2019-04,-0.006078431372549042,,0.016666666666666607,Virginia,United States,,0.006016965870980469,,0.02288419806667985
2019,5,11178,74,,2019-05,0.1025843361609784,,0.21311475409836067,Virginia,United States,,0.006620146716765074,,0.100246678927284
2019,6,10590,68,,2019-06,-0.05260332796564682,,-0.08108108108108103,Virginia,United States,,0.006421152030217186,,-0.030058954138274196
2019,7,10305,62,,2019-07,-0.026912181303116123,,-0.08823529411764708,Virginia,United States,,0.00601649684619117,,-0.0630190941005222
2019,8,10495,72,,2019-08,0.018437651625424545,,0.16129032258064524,Virginia,United States,,0.006860409718913768,,0.14026648634526406
2019,9,9770,83,,2019-09,-0.06908051453072894,,0.15277777777777768,Virginia,United States,,0.00849539406345957,,0.23832167633344725
2019,10,12568,86,,2019-10,0.28638689866939604,,0.03614457831325302,Virginia,United States,,0.0068427753023551875,,-0.1945311481444557
2019,11,12142,71,,2019-11,-0.033895607893061785,,-0.17441860465116277,Virginia,United States,,0.005847471586229616,,-0.14545322214263
2019,12,11600,66,,2019-12,-0.04463844506671055,,-0.07042253521126762,Virginia,United States,,0.005689655172413793,,-0.026988829528897473
2020,1,9867,71,,2020-01,-0.1493965517241379,,0.07575757575757569,Virginia,United States,,0.007195702847876761,,0.26469928841470347
2020,2,9179,61,,2020-02,-0.06972737407520013,,-0.14084507042253525,Virginia,United States,,0.0066456040963067875,,-0.07644823072874551
2020,3,7306,57,,2020-03,-0.2040527290554527,,-0.06557377049180324,Virginia,United States,,0.007801806734191076,,0.17398006578917835
2020,4,5202,52,,2020-04,-0.28798248015329864,,-0.08771929824561409,Virginia,United States,,0.009996155324875048,,0.2812615930445106
