yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,11600,66,0.0,0.0,Virginia,United States
2020-01,9871,71,-0.149051724137931,0.07575757575757569,Virginia,United States
2020-02,9181,61,-0.20853448275862074,-0.0757575757575758,Virginia,United States
2020-03,7317,58,-0.3692241379310345,-0.12121212121212122,Virginia,United States
2020-04,5218,52,-0.5501724137931034,-0.21212121212121215,Virginia,United States
2020-05,4182,44,-0.6394827586206897,-0.33333333333333337,Virginia,United States
