Year,Month,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
2019,1,1600,3,,2019-01,,,,SouthDakota,United States,,0.001875,,
2019,2,1902,3,,2019-02,0.18874999999999997,,0.0,SouthDakota,United States,,0.0015772870662460567,,-0.1587802313354364
2019,3,1675,6,,2019-03,-0.119348054679285,,1.0,SouthDakota,United States,,0.003582089552238806,,1.2710447761194033
2019,4,1170,4,,2019-04,-0.30149253731343284,,-0.33333333333333337,SouthDakota,United States,,0.003418803418803419,,-0.04558404558404561
2019,5,1530,5,,2019-05,0.3076923076923077,,0.25,SouthDakota,United States,,0.0032679738562091504,,-0.044117647058823484
2019,6,1657,7,,2019-06,0.08300653594771235,,0.3999999999999999,SouthDakota,United States,,0.004224502112251056,,0.2926976463488231
2019,7,1477,8,,2019-07,-0.10863005431502715,,0.1428571428571428,SouthDakota,United States,,0.005416384563303994,,0.2821356030563884
2019,8,1544,9,,2019-08,0.04536222071767093,,0.125,SouthDakota,United States,,0.005829015544041451,,0.07618199481865284
2019,9,1571,9,,2019-09,0.017487046632124414,,0.0,SouthDakota,United States,,0.005728835136855506,,-0.017186505410566544
2019,10,2032,13,,2019-10,0.2934436664544875,,0.4444444444444444,SouthDakota,United States,,0.0063976377952755905,,0.11674321959755041
2019,11,2650,8,,2019-11,0.30413385826771644,,-0.3846153846153846,SouthDakota,United States,,0.0030188679245283017,,-0.5281277213352685
2019,12,1898,5,,2019-12,-0.2837735849056604,,-0.375,SouthDakota,United States,,0.0026343519494204425,,-0.12737091675447842
2020,1,1796,5,,2020-01,-0.05374077976817704,,0.0,SouthDakota,United States,,0.0027839643652561247,,0.056792873051225046
2020,2,1298,10,,2020-02,-0.27728285077951,,1.0,SouthDakota,United States,,0.007704160246533128,,1.7673343605546994
2020,3,1042,3,,2020-03,-0.19722650231124805,,-0.7,SouthDakota,United States,,0.0028790786948176585,,-0.6262955854126679
2020,4,738,6,,2020-04,-0.29174664107485604,,1.0,SouthDakota,United States,,0.008130081300813009,,1.8238482384823849
2020,5,900,1,,2020-05,0.2195121951219512,,-0.8333333333333334,SouthDakota,United States,,0.0011111111111111111,,-0.8633333333333333
