yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,2137,2,0.0,0.0,District of Columbia,United States
2020-01,2075,4,-0.029012634534393955,1.0,District of Columbia,United States
2020-02,1904,1,-0.10903135236312589,-0.5,District of Columbia,United States
2020-03,1541,2,-0.2788956481048198,0.0,District of Columbia,United States
2020-04,883,1,-0.5868039307440337,-0.5,District of Columbia,United States
2020-05,1218,4,-0.43004211511464674,1.0,District of Columbia,United States
