yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,17458,99,0.0,0.0,Tennessee,United States
2020-01,15876,71,-0.09061748195669606,-0.2828282828282829,Tennessee,United States
2020-02,15865,75,-0.0912475655859778,-0.24242424242424243,Tennessee,United States
2020-03,13244,73,-0.24137931034482762,-0.26262626262626265,Tennessee,United States
2020-04,8752,74,-0.49868255241150194,-0.2525252525252525,Tennessee,United States
2020-05,12628,69,-0.27666399358460303,-0.303030303030303,Tennessee,United States
