yearMonth,Crash_ID,Crash_Fatal_Fl,crashPctChangeCompareDec,fatalPctChangeCompareDec,State,Country
2019-12,13271,63,0.0,0.0,Louisiana,United States
2020-01,11414,45,-0.1399291688644413,-0.2857142857142857,Louisiana,United States
2020-02,11946,43,-0.09984176022907087,-0.31746031746031744,Louisiana,United States
2020-03,10054,58,-0.24240825860899706,-0.07936507936507942,Louisiana,United States
2020-04,6373,42,-0.5197799713661366,-0.33333333333333337,Louisiana,United States
2020-05,7546,21,-0.43139175646145733,-0.6666666666666667,Louisiana,United States
